round,train,validation,gap
1,0.19252742133827527,0.2077535892973196,0.015226167959044329
2,0.18753578723028358,0.20228602734234427,0.014750240112060692
3,0.1828536626703989,0.19738633156901345,0.014532668898614542
4,0.17839962878449664,0.19260203971682763,0.014202410932330989
5,0.17437495659303653,0.18819597309935898,0.013821016506322448
6,0.17026946556987335,0.18380998487622666,0.013540519306353305
7,0.166356947903839,0.17965369801693765,0.013296750113098638
8,0.162796890160297,0.17565099124574596,0.01285410108544896
9,0.159326199844027,0.17201830499547408,0.012692105151447086
10,0.15609257438191576,0.16866311215185484,0.012570537769939077
11,0.15309173549018978,0.16529467140047913,0.012202935910289342
12,0.15018251796658927,0.1621711372423885,0.011988619275799223
13,0.14737480012349505,0.15914925379630263,0.011774453672807578
14,0.14456297568423557,0.1561341745438546,0.01157119885961902
15,0.14189326002725414,0.1533829911542855,0.01148973112703136
16,0.1394146591859167,0.15065219756215087,0.011237538376234174
17,0.13710080685085818,0.147955221059496,0.010854414208637808
18,0.13486065678901069,0.14556078520427962,0.010700128415268934
19,0.13271960743380057,0.14336169093376241,0.010642083499961846
20,0.13076583099423092,0.1412106670097,0.010444836015469083
21,0.12885692355122294,0.1391812880103785,0.01032436445915555
22,0.1269821576850696,0.13717779592813154,0.010195638243061939
23,0.12514142571720355,0.13526912300253335,0.010127697285329806
24,0.12345829495812978,0.13348256206728318,0.010024267109153398
25,0.12182790752298754,0.1317258094298589,0.009897901906871356
26,0.12033837438901261,0.13007917500710756,0.009740800618094944
27,0.11887158957031696,0.12853012793906715,0.009658538368750191
28,0.11741201201363707,0.12705303375078145,0.009641021737144373
29,0.11608592384521871,0.1255958669997747,0.009509943154556
30,0.11476402406587861,0.12422286829459764,0.009458844228719024
31,0.11356258567835975,0.12299051399812844,0.009427928319768686
32,0.11245556289478749,0.12178007650180149,0.009324513607014001
33,0.11132402290770206,0.12055678690553057,0.009232763997828505
34,0.11022110996116213,0.11948664505819351,0.009265535097031374
35,0.10922004952668422,0.11843536184016934,0.009215312313485116
36,0.10819763033610276,0.11741005746645869,0.00921242713035593
37,0.10726157850587165,0.1164167569898777,0.009155178484006057
38,0.10642930181036377,0.11551349086840448,0.009084189058040718
39,0.10555175906487975,0.11462868223446508,0.009076923169585333
40,0.10471794026358054,0.11379203678134726,0.009074096517766722
41,0.1039316035593107,0.11294692255393667,0.00901531899462596
42,0.10319323018186971,0.11213302476690412,0.00893979458503441
43,0.10248865508502761,0.11138660251331506,0.00889794742828745
44,0.10179583905538613,0.1106407935441524,0.00884495448876628
45,0.10110704281390598,0.10992054210098777,0.008813499287081791
46,0.10044481990950603,0.10925287362789231,0.008808053718386277
47,0.09984662580234453,0.10862678920158586,0.008780163399241328
48,0.09930468440632752,0.10801295527277356,0.008708270866446044
49,0.09877381497216654,0.10743611435071439,0.008662299378547844
50,0.09821339542643391,0.10683728689780121,0.008623891471367301
51,0.09772740672240272,0.10632668428266184,0.00859927756025912
52,0.0972637964731076,0.10579431235850209,0.008530515885394496
