,xgb_raw,xgb_raw,xgb_raw,xgb_raw,xgb_raw,xgb_raw,xgb_recovered,xgb_recovered,xgb_recovered,xgb_recovered,xgb_recovered,xgb_recovered,gap
,n_scored,WAPE,WPE,MAE,pinball(avg),CRPS~,n_scored,WAPE,WPE,MAE,pinball(avg),CRPS~,WAPE_%
<25% censored,3955.0,0.4712,0.0195,0.3407,0.1082,0.2967,3955.0,0.4604,0.1162,0.333,0.1081,0.2964,-2.29
25-50%,30345.0,0.3601,0.0078,0.2953,0.0945,0.2294,30345.0,0.3702,0.1129,0.3038,0.097,0.2353,2.8
50-75%,12319.0,0.3084,-0.0151,0.4272,0.1361,0.195,12319.0,0.3124,0.112,0.4349,0.1384,0.1983,1.3
>=75%,1375.0,0.2875,-0.1964,0.8947,0.2948,0.1915,1375.0,0.2256,0.0013,0.6984,0.2252,0.1463,-21.53
ALL,47994.0,0.3423,-0.0187,0.3502,0.1121,0.2181,47994.0,0.3426,0.1014,0.3512,0.1122,0.2183,0.09
