round,train,validation,gap
1,0.2169883005370744,0.2235587357282349,0.00657043519116049
2,0.2107292932227649,0.21744226879451967,0.0067129755717547646
3,0.2050201313253678,0.2118289668199537,0.006808835494585885
4,0.1992688558573011,0.2060701925818363,0.006801336724535173
5,0.19383949230270325,0.200727593659362,0.006888101356658738
6,0.18890506283929814,0.19598466274464804,0.007079599905349898
7,0.1840300112305104,0.19117569683431643,0.007145685603806018
8,0.17960416999107554,0.18672086624851852,0.007116696257442989
9,0.17521823371574835,0.18245872635824267,0.007240492642494323
10,0.1710916378386396,0.17845174521178628,0.007360107373146685
11,0.16734475407284832,0.17462072357633723,0.0072759695034889105
12,0.16361384295045012,0.17097221268534435,0.007358369734894232
13,0.16010607933580703,0.16760174062492605,0.007495661289119021
14,0.15678895819651598,0.16444053557509836,0.00765157737858238
15,0.15344420037451345,0.16123773812462328,0.007793537750109825
16,0.15041645350002283,0.15825358451599036,0.00783713101596753
17,0.14756063019720786,0.15537123801126315,0.007810607814055293
18,0.14472595028478316,0.15265505644867983,0.007929106163896665
19,0.14204390826157176,0.1500403561791506,0.007996447917578836
20,0.1395209767752527,0.14758829667573173,0.008067319900479042
21,0.1371210402974046,0.14524789182360182,0.008126851526197215
22,0.1347244411819833,0.1429422996865448,0.008217858504561498
23,0.13248314001671527,0.14079474389669314,0.008311603879977869
24,0.1303198094839049,0.1386581385698636,0.00833832908595869
25,0.1282742367475855,0.13664673920200893,0.00837250245442342
26,0.1263558183608211,0.1346916784440623,0.008335860083241192
27,0.12452899206913022,0.13292339992478583,0.008394407855655608
28,0.12268817808068666,0.13116722636587494,0.008479048285188279
29,0.12099439163945774,0.12949277224738176,0.008498380607924017
30,0.1193643398505448,0.127922919854496,0.008558580003951197
31,0.11773879818679925,0.1262998126453718,0.008561014458572547
32,0.11629965126833276,0.1249071101678361,0.008607458899503331
33,0.11489180234866805,0.12353247186520358,0.008640669516535526
34,0.11352458523003583,0.1222172655385628,0.008692680308526962
35,0.11226231860964676,0.12097271540082688,0.008710396791180117
36,0.11096050201049074,0.11973561868766693,0.00877511667717619
37,0.10973805087954858,0.11851226054425733,0.008774209664708751
38,0.10861062141504386,0.11737441867412048,0.008763797259076611
39,0.10746127410972124,0.11626141224838833,0.00880013813866709
40,0.10637527180535591,0.11523341274916922,0.008858140943813306
41,0.10539316283597044,0.11428258481033113,0.008889421974360684
42,0.10440154560635133,0.11329035974011009,0.008888814133758763
43,0.10349388565738789,0.1123825479537165,0.008888662296328606
44,0.10260775147353066,0.11150297017955434,0.00889521870602368
45,0.10174736182845044,0.110663163240179,0.008915801411728555
46,0.10087380237891047,0.10983499739671881,0.008961195017808343
47,0.10009718483146186,0.10902527814007784,0.008928093308615978
48,0.0994145194000685,0.10832188057814489,0.00890736117807639
49,0.09868251382827511,0.10762210516626344,0.008939591337988329
50,0.09794073264362652,0.10694446241399012,0.009003729770363608
51,0.0972870591810141,0.10630110776393312,0.009014048582919015
52,0.09666178563218338,0.10565796497292923,0.008996179340745855
53,0.09603748848604639,0.10508587127941632,0.009048382793369933
54,0.09544294209001397,0.10451936604788747,0.009076423957873503
55,0.09487385917305227,0.10397771318818544,0.009103854015133167
56,0.09432514360815276,0.10346457017349682,0.009139426565344055
57,0.09379803702627386,0.1029936742227921,0.009195637196518239
58,0.0933127939446558,0.10251265228182257,0.009199858337166772
59,0.09280035655244634,0.10204701431855957,0.009246657766113234
60,0.09231370370417935,0.10159871977432638,0.009285016070147034
61,0.09189079549346889,0.10118480241282317,0.00929400691935428
62,0.09144482755092118,0.10078795648851778,0.009343128937596604
63,0.09102986575341586,0.10041472181346157,0.009384856060045715
64,0.09061220906222688,0.1000383441146556,0.00942613505242873
65,0.09023204805354397,0.0996840281563717,0.009451980102827731
66,0.08988503176116783,0.09937703583386688,0.009492004072699053
67,0.08953615945319006,0.09904362599696775,0.009507466543777696
68,0.0891956172544351,0.09871547997252904,0.009519862718093935
69,0.08887005100656444,0.09840765260241918,0.009537601595854747
70,0.0885626703724855,0.09809959243817581,0.009536922065690318
71,0.08826029858148515,0.09783073429207348,0.009570435710588326
72,0.08797610673590094,0.09756344699178683,0.009587340255885896
73,0.08768995570932682,0.0973136821230248,0.009623726413697978
74,0.08741288476801339,0.09707284900504443,0.00965996423703104
75,0.08716219225687985,0.0968539360608559,0.009691743803976055
76,0.08692234196122121,0.09664698514937631,0.009724643188155094
77,0.08667412599490543,0.0964256265193593,0.00975150052445388
78,0.0864518498098538,0.09621314229503046,0.009761292485176654
79,0.0862267520354502,0.09603789796067695,0.00981114592522675
80,0.08602180725195623,0.09586418343335223,0.00984237618139601
81,0.08580144044009809,0.09567444017605632,0.009872999735958232
82,0.08558982633393925,0.09548994703468051,0.009900120700741269
83,0.08539969187133972,0.09531945911957819,0.009919767248238467
84,0.085215490392519,0.09513558303265168,0.009920092640132688
85,0.0850273678136011,0.09498086179091361,0.009953493977312516
86,0.0848413418034277,0.09483605804267048,0.009994716239242779
87,0.08466798561318384,0.09470759822443739,0.010039612611253551
88,0.08450212165656942,0.09455835737683646,0.010056235720267037
89,0.08433515047476849,0.09442939078023783,0.010094240305469349
90,0.08418268268830045,0.09432703324243365,0.010144350554133194
91,0.08403193433500555,0.09419818351885291,0.010166249183847356
92,0.08388975863363975,0.09410041329095283,0.010210654657313079
93,0.08374514287959685,0.09400972793513916,0.010264585055542313
94,0.083602500592421,0.09389732584684822,0.010294825254427223
95,0.08346641249063948,0.09377419354791346,0.01030778105727398
96,0.08333561553935885,0.09368151632102627,0.010345900781667416
97,0.08321573764403466,0.09358181447262376,0.010366076828589102
98,0.08308834480559302,0.09350247977773031,0.010414134972137293
99,0.08297471949786794,0.09341654256769939,0.010441823069831449
100,0.08286924195866158,0.0933286504633591,0.010459408504697523
101,0.08275083722638779,0.09322925663700794,0.010478419410620152
102,0.08264544355221985,0.09316102839836314,0.010515584846143289
103,0.0825348592317723,0.09309081596066755,0.010555956728895255
104,0.08243415549848493,0.09301649449991438,0.01058233900142945
105,0.08232752956849086,0.09294367211845204,0.010616142549961183
106,0.08222438378888204,0.09287613448503211,0.01065175069615007
107,0.08212924863870909,0.09281866053163737,0.010689411892928283
108,0.08204277603861522,0.09277854879331286,0.010735772754697642
109,0.08195309021862464,0.09271956234580078,0.010766472127176144
110,0.08186919399388479,0.09267308654817981,0.010803892554295022
111,0.08178291419470826,0.09261362663298685,0.010830712438278586
112,0.08170034964435405,0.09256584234046902,0.010865492696114976
113,0.08161746418885292,0.09250714883560775,0.010889684646754827
114,0.08153722039892376,0.09246697260383063,0.01092975220490687
115,0.08145686908187708,0.09241737225267943,0.010960503170802355
116,0.08137902140931981,0.0923663579576956,0.01098733654837579
117,0.08129881917915475,0.09232584094954215,0.01102702177038739
118,0.08121914095756642,0.09226609297649233,0.011046952018925901
119,0.08115393579002173,0.0922396725081746,0.01108573671815287
120,0.08108921412674651,0.09220548478972747,0.01111627066298096
121,0.08101518682956778,0.09217145836492244,0.011156271535354659
122,0.08095052437084026,0.0921439481412616,0.011193423770421346
123,0.08088412549784199,0.09209355955886066,0.011209434061018667
124,0.08082800229702869,0.09205617061282473,0.011228168315796039
125,0.08077083284048614,0.09203676982305846,0.01126593698257232
126,0.08071234228231268,0.09201048755578968,0.011298145273477
127,0.08065513131418654,0.09198559275093696,0.011330461436750414
128,0.08059969648066474,0.09196037442093165,0.011360677940266906
129,0.08054035618898703,0.09192975177348893,0.011389395584501902
130,0.080484267747036,0.09189928683102837,0.011415019083992367
131,0.08043309967512079,0.0918726169112589,0.01143951723613812
132,0.08038468301477114,0.09185501714880609,0.011470334134034949
133,0.08033411684520357,0.0918358372784995,0.011501720433295934
134,0.08028490475499106,0.09180786208301052,0.01152295732801946
135,0.08022987358676345,0.09178058112410814,0.01155070753734469
136,0.08017255142789043,0.09174265039019064,0.011570098962300213
137,0.08012293981230469,0.09172445825307142,0.011601518440766734
138,0.08007600733346178,0.09170456710946233,0.011628559776000552
139,0.08003433745799894,0.09168720453913096,0.011652867081132015
140,0.07999193261824393,0.09167591795662602,0.011683985338382094
141,0.07995039304577559,0.09166451540405238,0.01171412235827679
142,0.07990494730782799,0.09164409307604256,0.011739145768214568
143,0.07986432097705408,0.09162253048353969,0.011758209506485609
144,0.07982682610628979,0.09161067205021836,0.011783845943928575
